url,in_posts_json,in_sitemap,recommendation,note
https://pay24.store/blog/2025-10-23-news-사퇴-포함한-책임져야-kt-김영섭-대표-무단-소액결제-및-해킹-피해자-위약금-면제-엠투데이.html,yes,yes,none,
https://pay24.store/blog/2025-10-23-news-소상공인-부담경감-크레딧-게임-소액결제도-가능악용-막아야-뉴스1.html,yes,yes,none,
https://pay24.store/blog/2025-10-23-news-웨스턴얼라이언스-ceo-대출-사기-매우-실망스럽지만-고립적-사건-연합인포맥스.html,yes,yes,none,
https://pay24.store/blog/2025-10-23-news-정부-kt-무단-소액-결제-사건에-대한-민관-합동조사단의-조사가-중간-단계를-넘어선-상태-뉴스21일간.html,yes,yes,none,
https://pay24.store/blog/2025-10-23-news-참여연대-고물가고유가-등-민생안정-119-대책-촉구-시사경제신문.html,yes,yes,none,
https://pay24.store/blog/2025-10-23-news-카드사-가맹점수수료-수익-5년-만에-감소비중도-20대-붕괴-위기-ceoscoredaily.html,yes,yes,none,
https://pay24.store/blog/2025-10-23-virtual-visa-cash-howto.html,yes,yes,none,
https://pay24.store/blog/2025-10-22-cardcash-fee-compare-2025.html,yes,yes,none,
https://pay24.store/blog/2025-10-21-content-fee-cash-quick-tips.html,yes,yes,none,
https://pay24.store/blog/2025-10-20-cardcash-fee-calculator-legal-checklist.html,yes,yes,none,
https://pay24.store/blog/2025-10-20-phone-micro-payment-cash-guide.html,yes,yes,none,
https://pay24.store/blog/2025-10-17-creditcard-installment-cash-guide.html,yes,yes,none,
https://pay24.store/blog/2025-10-15-emergency-card-cash-guide.html,yes,yes,none,
https://pay24.store/blog/2025-10-15-virtual-visa-cash-guide.html,yes,yes,none,
https://pay24.store/blog/2025-10-06-creditcard-cash-guide.html,yes,yes,none,
https://pay24.store/blog/2025-09-10-card-product-cash-service.html,yes,yes,none,
https://pay24.store/blog/2025-08-29-cardcash-orangepay.html,yes,yes,none,
https://pay24.store/blog/2025-06-20-cash-trend-tips.html,yes,yes,none,
https://pay24.store/blog/2025-06-11-mobile-giftcard-cash-guide.html,yes,yes,none,
https://pay24.store/blog/2025-06-08-cardcash-guide.html,yes,yes,none,dated cardcash guide
https://pay24.store/blog/cardcash-guide.html,yes,yes,redirect,short canonical preferred — consider 301 from dated to short
https://pay24.store/blog/cardcash-howto.html,yes,yes,none,
https://pay24.store/blog/cardcash-phonecash-howto.html,yes,yes,none,
https://pay24.store/blog/phonecash-review.html,yes,yes,none,
https://pay24.store/blog/2025-05-29-cardcash-guide.html,yes,yes,consider-redirect,dated file exists and canonical points to short path
https://pay24.store/blog/2025-05-26-sample.html,yes,yes,none,sample post
